	;	Shine NPC table(ShineNPC.txt)																
;	#recordin	LinkTable								Adl002	BerKal01	BerKal01	6163	3973	0	1	120	1
;	#recordin	ShineNPC	MapLinkGate	Adl	31383	19698	85	0	Gate	Adl003								
;	#recordin	LinkTable								Adl003	UrgSwa01	UrgSwa01	6642	22108	0	1	120	1
;	#recordin	ShineNPC	EldSpeGuard03	Adl	12431	14870	15	0	Gate	Adl004								
;	#recordin	LinkTable								Adl004	BFGate04	BFGate04	1589	301	0	1	120	1
;	???? ??																	
	#recordin	ShineNPC	MapLinkGate	PsyOut	11787	7461	180	0	Gate	PsyOut001								
	#recordin	LinkTable								PsyOut001	BerKal01	BerKal01	4784	12824	-80	1	120	1
	#recordin	ShineNPC	MapLinkGate	PsyOut	11787	15417	0	0	Gate	PsyOut002								
	#recordin	LinkTable								PsyOut002	PsyIn	PsyIn	11877	14307	180	1	120	1
;	???? ??																	
	#recordin	ShineNPC	MapLinkGate	PsyIn	11877	14179	180	0	Gate	PsyIn001								
	#recordin	LinkTable								PsyIn001	PsyOut	PsyOut	11787	15299	0	1	120	1
;	?? NPC																	
	#recordin	ShineNPC	RouSoulMctJulia	RouN	7043	9255	-72	1	Merchant	Item								
	#recordin	ShineNPC	EldSoulMctAvon	Eld	16175	14938	0	1	Merchant	Item								
;	#recordin	ShineNPC	EldCastleLordElderiss	RouVal01	11842	6467	134	1	Merchant	Item								
	#recordin	ShineNPC	UruSoulPooring	Urg	5603	5399	0	1	Merchant	Item								
	#recordin	ShineNPC	HednisSoulKeroll	EldGbl02	9608	8179	54	1	Merchant	Item								
	#recordin	ShineNPC	StoneMctTomson	UrgFire01	23630	2625	109	1	Merchant	Item								
	#recordin	ShineNPC	AlruinSoulRunadilla	Urg_Alruin	7009	10967	145	1	Merchant	Item								
	#recordin	ShineNPC	BeraSoulOlivia	Bera	7655	1894	168	1	Merchant	Item								
;	#recordin	ShineNPC	TempSoul	GblDn01	5075	4540	0	1	Merchant	Item								
;	#recordin	ShineNPC	TempSoul	CemDn01	11373	6813	135	1	Merchant	Item								
;	#recordin	ShineNPC	TempSoul	ValDn01	4235	2065	-147	1	Merchant	Item								
	#recordin	ShineNPC	TempSoul	RouVal01	13055	7862	0	1	Merchant	Item								
	#recordin	ShineNPC	TempSoul	RouCos03	7300	15742	-30	1	Merchant	Item								
;	#recordin	ShineNPC	FbattleSoul	Fbattle01	1104	1810	-105	1	Merchant	Item								
;	#recordin	ShineNPC	FbattleSoul	Fbattle02	2496	4440	0	1	Merchant	Item								
;	#recordin	ShineNPC	FbattleSoul	Fbattle03	32	2218	-88	1	Merchant	Item								
;	#recordin	ShineNPC	FbattleSoul	Fbattle03_1	2436	2359	31	1	Merchant	Item								
;	#recordin	ShineNPC	FbattleSoul	Fbattle03_1	718	1629	-148	1	Merchant	Item								
;	????? ??(??????/??????)																	
;	#recordin	ShineNPC	ChristmasTree	Urg_Alruin	6825	11564	-55	0	QuestNpc	Quest								
;	?? ?? ?? ??																	
	#recordin	ShineNPC	DST_ItemLeak	DarkCave	3236	3153	0	1	Merchant	Item								
	#recordin	ShineNPC	DST_SmithLothar	DarkCave	2433	2478	-87	1	Merchant	Weapon								
	#recordin	ShineNPC	DST_SoulLaia	DarkCave	3286	4217	10	1	Merchant	Item								
	#recordin	ShineNPC	DST_SkillWilliam	DarkCave	2438	2370	-87	1	Merchant	Skill								
	#recordin	ShineNPC	DST_StoreHamilton	DarkCave	1627	2599	0	1	StoreManager	-								
	#recordin	ShineNPC	DST_Guild	DarkCave	1464	4087	0	1	NPCMenu	Guild								
	#recordin	ShineNPC	DST_Grans	DarkCave	3882	3445	63	1	QuestNpc	Quest								
	#recordin	ShineNPC	DST_Lansol	DarkCave	3837	4193	5	1	QuestNpc	Quest								
	#recordin	ShineNPC	DST_Pols	DarkCave	5023	4077	0	1	QuestNpc	Quest								
	#recordin	ShineNPC	DST_WeaponTitleJoshua	DarkCave	2741	4057	0	1	Merchant	WeaponTitle								
;	?? ?? ??																	
;	#recordin	ShineNPC	DT_ItemOrakioga	DarkTown	3658	2642	120	1	Merchant	Item								
;	#recordin	ShineNPC	DT_SmithEselga	DarkTown	4072	2300	120	1	Merchant	Weapon								
;	#recordin	ShineNPC	DT_SoulSray	DarkTown	2499	2408	-156	1	Merchant	Item								
;	#recordin	ShineNPC	DT_SkillRAsuto	DarkTown	2938	4122	0	1	Merchant	Skill								
;	#recordin	ShineNPC	DT_StoreHugo	DarkTown	2919	3013	0	1	StoreManager	-								
;	#recordin	ShineNPC	DT_GuildVolmus	DarkTown	2814	3452	118	1	NPCMenu	Guild								
;	#recordin	ShineNPC	DT_Diomedes	DarkTown	5032	4354	74	1	QuestNpc	Quest								
;	#recordin	ShineNPC	DT_Deodorice	DarkTown	4787	4516	28	1	QuestNpc	Quest								
;	#recordin	ShineNPC	DT_Umil	DarkTown	3017	5004	-1	1	QuestNpc	Quest								
;	????? ??? npc																	
;	#recordin	ShineNPC	SantaStudent	RouN	5434	5856	-25	0	QuestNpc	Quest								
;	???																	
	#recordin	ShineNPC	AuctionBridder	RouN	6232	7239	-58	1	NPCMenu	 Auction								
	#recordin	ShineNPC	AuctionCaluse	Eld	13765	10914	-138	1	NPCMenu	 Auction								
	#recordin	ShineNPC	AuctionSeria	Urg	6153	7436	9	1	NPCMenu	 Auction								
	#recordin	ShineNPC	AuctionMerdren	Adl	13732	13149	146	1	NPCMenu	 Auction								
;	?? ??? NPC																	
	#recordin	ShineNPC	GB_MasterRoan	GBHouse	1597	1919	-178	1	Merchant	Item								
	#recordin	ShineNPC	GB_Store	GBHouse	1134	2413	-35	1	StoreManager	-								
	#recordin	ShineNPC	GB_CoinStore	GBHouse	2066	2418	32	1	Merchant	Item								
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	1351	1601	89	0	NPCMenu	ExchangeCoin								
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	789	1131	-170	0	NPCMenu	ExchangeCoin								
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	789	2074	-9	0	NPCMenu	ExchangeCoin								
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	1836	1595	-87	0	NPCMenu	ExchangeCoin								
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	2408	2078	9	0	NPCMenu	ExchangeCoin								
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	2407	1127	174	0	NPCMenu	ExchangeCoin								
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	1592	1376	0	0	NPCMenu	ExchangeCoin								
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	2073	795	97	0	NPCMenu	ExchangeCoin								
	#recordin	ShineNPC	GB_CoinMachine	GBHouse	1129	791	-100	0	NPCMenu	ExchangeCoin								
;	????? ?? (??? & ??? ??)																	
	#recordin	ShineNPC	GB_Dealer	GBHouse	1102	1437	-123	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	953	1339	-121	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	793	1391	-17	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	802	1523	73	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	805	1689	104	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	800	1813	-168	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	954	1854	-53	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	1095	1763	-56	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	2098	1762	50	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	2245	1854	56	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	2402	1811	166	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	2404	1681	-104	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	2410	1519	-78	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	2394	1387	9	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	2241	1340	125	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	2106	1435	128	1	QuestNpc	Quest								
;	????? ?? (????)																	
	#recordin	ShineNPC	GB_Dealer	GBHouse	1731	1253	-129	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	1469	1257	131	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	1237	755	26	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	1439	883	73	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	1760	891	-71	1	QuestNpc	Quest								
	#recordin	ShineNPC	GB_Dealer	GBHouse	1962	753	-21	1	QuestNpc	Quest								
;	?? ??? ??? ???																	
	#recordin	ShineNPC	GB_Game_Dice01	GBHouse	1154	1471	-123	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice02	GBHouse	1003	1371	-121	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice03	GBHouse	815	1340	-17	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice04	GBHouse	746	1509	76	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice05	GBHouse	749	1703	104	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice06	GBHouse	816	1866	-169	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice07	GBHouse	1000	1818	-54	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice08	GBHouse	1147	1725	-58	1	QuestNpc	GBDice								
;	?? ??? ??? ?? ??? (??? ?? ?? ??)																	
	#recordin	ShineNPC	GB_Game_Dice09	GBHouse	2055	1726	52	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice10	GBHouse	2198	1823	58	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice11	GBHouse	2388	1865	169	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice12	GBHouse	2457	1696	-104	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice13	GBHouse	2464	1504	-77	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice14	GBHouse	2382	1333	11	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice15	GBHouse	2194	1372	125	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_Game_Dice16	GBHouse	2060	1471	130	1	QuestNpc	GBDice								
;	?? ??? ???? ???																	
	#recordin	ShineNPC	GB_SlotMachine_01_01	GBHouse	1813	1107	-127	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_01_02	GBHouse	1782	1147	-127	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_01_03	GBHouse	1750	1188	-127	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_01_04	GBHouse	1448	1182	-52	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_01_05	GBHouse	1415	1141	-52	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_01_06	GBHouse	1384	1100	-52	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_01_07	GBHouse	1327	749	10	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_01_08	GBHouse	1378	739	10	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_01_09	GBHouse	1429	730	10	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_01_10	GBHouse	1767	729	-10	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_01_11	GBHouse	1820	739	-10	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_01_12	GBHouse	1872	748	-10	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_02_01	GBHouse	1954	886	-121	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_02_02	GBHouse	1927	931	-121	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_02_03	GBHouse	1901	977	-121	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_02_04	GBHouse	1876	1022	-121	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_02_05	GBHouse	1325	1023	-59	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_02_06	GBHouse	1297	979	-59	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_02_07	GBHouse	1271	934	-59	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_02_08	GBHouse	1245	890	-59	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_03_01	GBHouse	1624	1211	0	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_03_02	GBHouse	1570	1211	0	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_03_03	GBHouse	1574	726	0	1	QuestNpc	GBDice								
	#recordin	ShineNPC	GB_SlotMachine_03_04	GBHouse	1626	726	0	1	QuestNpc	GBDice								
;	?? 10?? ??? NPC																	
;	#recordin	ShineNPC	E_PromMaster	Rou	6185	4439	-77	1	QuestNpc	Quest								
;	?? ?? ???																	
;	#recordin	ShineNPC	LC_Machine	RouN	5643	5333	-178	1	Merchant	Item								
;	#recordin	ShineNPC	LC_Machine	Eld	13136	13082	0	1	Merchant	Item								
;	#recordin	ShineNPC	LC_Machine	Urg	6359	6148	22	1	Merchant	Item								
;	3?? ???NPC																	
;	#recordin	ShineNPC	E_Najla	Rou	6174	4609	-110	1	QuestNpc	Quest								
;	?? ?? ???																	
	#recordin	ShineNPC	LC_MachineRed	GBHouse	1538	2250	-8	1	Merchant	Item								
	#recordin	ShineNPC	LC_MachineBlue	GBHouse	1651	2250	-8	1	Merchant	Item								
;	???? NPC																	
	#recordin	ShineNPC	AdlLantesUp	Adl	28228	20053	-30	1	QuestNpc	Quest								
	#recordin	ShineNPC	Claude	Adl	28348	20085	0	1	QuestNpc	Quest								
	#recordin	ShineNPC	Claude	Adl	28142	19962	-60	1	QuestNpc	Quest								
	#recordin	ShineNPC	AdlSoulAngela	Adl	13017	12176	162	1	Merchant	Item								
	#recordin	ShineNPC	AdlSkillEdwina	Adl	10492	13263	-113	1	Merchant	Skill								
	#recordin	ShineNPC	AdlSmithAlexia	Adl	12000	11866	165	1	Merchant	Weapon								
	#recordin	ShineNPC	AdlStoreKaruha	Adl	13062	14645	70	1	StoreManager	-								
	#recordin	ShineNPC	QM_Bunis	Adl	12883	13940	88	1	NPCMenu	Guild								
	#recordin	ShineNPC	AdlSpeGuiltian	Adl	12433	13137	282	1	QuestNpc	Quest								
	#recordin	ShineNPC	AdlGuardNell	Adl	45076	14273	145	1	QuestNpc	Quest								
	#recordin	ShineNPC	AdlMarlene	Adl	32944	15660	40	1	QuestNpc	Quest								
	#recordin	ShineNPC	AdlLoussier	Adl	12762	12221	187	1	Merchant	Item								
	#recordin	ShineNPC	AdlAertsina	Adl	12167	12124	0	1	Merchant	WeaponTitle								
	#recordin	ShineNPC	AdlLantesDown	Adl	15400	12030	115	1	QuestNpc	Quest								
	#recordin	ShineNPC	Claude	Adl	15296	11903	140	1	QuestNpc	Quest								
	#recordin	ShineNPC	Claude	Adl	15425	12186	80	1	QuestNpc	Quest								
;	???? NPC																	
	#recordin	ShineNPC	Q_Rourke	BerKal01	9644	8992	-5	1	QuestNpc	Quest								
	#recordin	ShineNPC	Q_Joanna	BerKal01	9332	9071	-20	1	QuestNpc	Quest								
	#recordin	ShineNPC	Q_Huey	BerKal01	9800	8833	95	1	QuestNpc	Quest								
	#recordin	ShineNPC	Q_Dalian	BerKal01	10564	14964	160	1	QuestNpc	Quest								
;	??? ???? ???																	
	#recordin	ShineNPC	Gate_AdlF	Adl	31644	1984	-151	0	IDGate	AdlFGate00								
	#recordin	LinkTable								AdlFGate00	AdlF	AdlF	2312	9961	0	1	120	0
	#End																	
